Parameter,Description,Result,Method
Yeast content - estimated,"increased (>500,000/10g)",,PM DE01.040 (a) 1
Starch content_acc. to pollen content,very low (< 5%),,PM DE01.037 (a)2
Colour,amber,,PM DE01.108 (a) 3
Consistency,liquid,,PM DE01.108 (a)3
Odour,typical for honey,,PM DE01.108 (a) 3
Taste,"sweet,bloomy,fruity,malty",,PM DE01.108 (a) 3
Honeydew elements,"crystalline matter (moderate),spores (few)",,PM DE01.108 (a)3
Other sediment,"plant fibers,pieces of dirt",,PM DE01.108 (a) 3
Electr. conductivity,,1.35 mS/cm,PM DE01.042:2018-03 (a)
